44.90,-93.00
44.90,-93.01
44.90,-93.02
44.90,-93.03
44.89,-93.00
44.89,-93.01
44.89,-93.02
44.89,-93.03
44.90,-92.99
44.90,-93.00
44.90,-93.01
44.90,-93.02
44.90,-93.03
44.90,-93.04
44.90,-93.16
44.90,-93.17
44.90,-93.18
44.90,-93.19
44.90,-93.20
44.91,-92.99
44.91,-93.00
44.91,-93.01
44.91,-93.02
44.91,-93.03
44.91,-93.04
44.91,-93.14
44.91,-93.15
44.91,-93.16
44.91,-93.17
44.91,-93.18
44.91,-93.19
44.91,-93.20
44.92,-92.99
44.92,-93.00
44.92,-93.01
44.92,-93.02
44.92,-93.03
44.92,-93.04
44.92,-93.05
44.92,-93.13
44.92,-93.14
44.92,-93.15
44.92,-93.16
44.92,-93.17
44.92,-93.18
44.92,-93.19
44.92,-93.20
44.93,-92.99
44.93,-93.00
44.93,-93.01
44.93,-93.02
44.93,-93.03
44.93,-93.04
44.93,-93.05
44.93,-93.06
44.93,-93.07
44.93,-93.11
44.93,-93.12
44.93,-93.13
44.93,-93.14
44.93,-93.15
44.93,-93.16
44.93,-93.17
44.93,-93.18
44.93,-93.19
44.93,-93.20
44.94,-92.99
44.94,-93.00
44.94,-93.01
44.94,-93.02
44.94,-93.03
44.94,-93.04
44.94,-93.05
44.94,-93.06
44.94,-93.07
44.94,-93.08
44.94,-93.09
44.94,-93.10
44.94,-93.11
44.94,-93.12
44.94,-93.13
44.94,-93.14
44.94,-93.15
44.94,-93.16
44.94,-93.17
44.94,-93.18
44.94,-93.19
44.94,-93.20
44.95,-92.99
44.95,-93.00
44.95,-93.01
44.95,-93.02
44.95,-93.03
44.95,-93.04
44.95,-93.05
44.95,-93.06
44.95,-93.07
44.95,-93.08
44.95,-93.09
44.95,-93.10
44.95,-93.11
44.95,-93.12
44.95,-93.13
44.95,-93.14
44.95,-93.15
44.95,-93.16
44.95,-93.17
44.95,-93.18
44.95,-93.19
44.95,-93.20
44.96,-92.99
44.96,-93.00
44.96,-93.01
44.96,-93.02
44.96,-93.03
44.96,-93.04
44.96,-93.05
44.96,-93.06
44.96,-93.07
44.96,-93.08
44.96,-93.09
44.96,-93.10
44.96,-93.11
44.96,-93.12
44.96,-93.13
44.96,-93.14
44.96,-93.15
44.96,-93.16
44.96,-93.17
44.96,-93.18
44.96,-93.19
44.96,-93.20
44.97,-92.99
44.97,-93.00
44.97,-93.01
44.97,-93.02
44.97,-93.03
44.97,-93.04
44.97,-93.05
44.97,-93.06
44.97,-93.07
44.97,-93.08
44.97,-93.09
44.97,-93.10
44.97,-93.11
44.97,-93.12
44.97,-93.13
44.97,-93.14
44.97,-93.15
44.97,-93.16
44.97,-93.17
44.97,-93.18
44.97,-93.19
44.97,-93.20
44.98,-92.99
44.98,-93.00
44.98,-93.01
44.98,-93.02
44.98,-93.03
44.98,-93.04
44.98,-93.05
44.98,-93.06
44.98,-93.07
44.98,-93.08
44.98,-93.09
44.98,-93.10
44.98,-93.11
44.98,-93.12
44.98,-93.13
44.98,-93.14
44.98,-93.15
44.98,-93.16
44.98,-93.17
44.98,-93.18
44.98,-93.19
44.98,-93.20
44.99,-92.99
44.99,-93.00
44.99,-93.01
44.99,-93.02
44.99,-93.03
44.99,-93.04
44.99,-93.05
44.99,-93.06
44.99,-93.07
44.99,-93.08
44.99,-93.09
44.99,-93.10
44.99,-93.11
44.99,-93.12
44.99,-93.13
44.99,-93.14
44.99,-93.15
44.99,-93.16
44.99,-93.17
44.99,-93.18
44.99,-93.19
44.99,-93.20
45.00,-92.99
45.00,-93.00
45.00,-93.01
45.00,-93.02
45.00,-93.03
45.00,-93.04
45.00,-93.05
45.00,-93.06
45.00,-93.07
45.00,-93.08
45.00,-93.09
45.00,-93.10
45.00,-93.11
45.00,-93.12
45.00,-93.13
45.00,-93.14
45.00,-93.15
45.00,-93.16
45.00,-93.17
45.00,-93.18
45.00,-93.19
45.00,-93.20
45.01,-92.99
45.01,-93.00
45.01,-93.01
45.01,-93.02
45.01,-93.03
45.01,-93.04
45.01,-93.05
45.01,-93.06
45.01,-93.07
45.01,-93.08
45.01,-93.09
45.01,-93.10
45.01,-93.11
45.01,-93.12
45.01,-93.13
45.01,-93.14
45.01,-93.15
45.01,-93.16
45.01,-93.17
45.01,-93.18
45.01,-93.19
45.01,-93.20
